AGUA_CRUDA,CLORO,SULFATO_AL,SULFATO_CU,PH_I,pH_S,COLOR_I,COLOR_S,TURBIEDAD_I,TURBIEDAD_S,,
40777.00,98.00,500.00,40.00,7.83,7.07,182.00,9.00,17.43,0.30,,
40508.00,96.00,1000.00,30.00,7.65,7.12,172.00,10.00,16.93,0.33,,
42840.00,96.00,500.00,40.00,7.75,7.08,164.00,18.00,17.53,0.31,,
42079.00,100.00,1000.00,40.00,7.79,7.15,190.00,21.00,18.78,0.37,,
40396.00,85.00,500.00,40.00,7.81,7.11,200.00,21.00,19.89,0.31,,
40080.00,97.00,1000.00,30.00,7.75,7.13,192.00,25.00,19.37,0.31,,
39774.00,93.00,500.00,40.00,7.76,7.09,194.00,15.00,20.08,0.30,,
42855.63,93.00,1000.00,40.00,7.69,6.45,197.00,8.00,19.48,0.45,,
41472.00,95.00,500.00,30.00,7.74,7.08,197.00,5.00,19.71,0.36,,
41230.00,96.00,1000.00,40.00,7.76,7.08,213.00,12.00,21.52,0.49,,
41060.00,95.00,1000.00,40.00,7.67,7.04,218.00,11.00,21.89,0.34,,
41387.00,99.00,500.00,30.00,7.64,7.06,220.00,13.00,21.73,0.45,,
41406.00,103.00,1000.00,30.00,7.66,7.05,223.00,18.00,21.66,0.39,,
40608.00,100.00,500.00,40.00,7.62,7.06,230.00,17.00,22.15,0.41,,
41073.00,100.00,1000.00,30.00,7.68,7.05,228.00,20.00,22.09,0.40,,
23044.00,77.00,500.00,30.00,7.70,7.12,167.00,50.00,15.90,0.46,,
23447.00,68.00,525.00,30.00,8.10,7.21,109.00,36.00,11.01,0.58,,
25950.00,72.00,500.00,20.00,8.16,7.08,122.00,27.00,8.88,0.56,,
24975.00,66.00,500.00,30.00,8.60,7.36,114.00,71.00,8.26,1.62,,
8667.00,0.00,0.00,0.00,,,,,,,,
7967.00,75.00,500.00,30.00,7.87,7.27,203.00,112.00,14.36,2.47,,
30681.00,115.00,500.00,30.00,8.03,7.14,130.00,91.00,7.92,1.74,,
30890.00,114.00,500.00,30.00,8.47,7.33,213.00,90.00,6.27,1.30,,
38583.00,118.00,500.00,40.00,7.69,7.05,360.00,30.00,36.18,0.47,,
40657.00,116.00,1000.00,30.00,7.75,7.11,346.00,32.40,32.84,0.36,,
40665.00,112.00,500.00,30.00,7.77,7.15,313.00,32.10,30.33,0.30,,
40053.00,111.00,1000.00,30.00,7.71,7.07,295.50,23.74,30.36,0.36,,
40004.00,116.00,1000.00,40.00,7.68,7.03,330.50,23.49,31.62,0.30,,
40409.00,108.00,500.00,30.00,7.68,7.04,316.00,31.24,31.38,0.40,,
40016.00,110.00,1000.00,30.00,7.65,7.01,319.33,28.46,30.19,0.38,,
39158.00,108.00,500.00,40.00,7.72,7.02,258.64,20.75,24.23,0.48,,
40029.00,111.00,1000.00,30.00,7.87,7.05,229.83,24.12,21.69,0.41,,
41113.00,113.00,500.00,30.00,7.79,7.11,216.25,32.01,20.27,0.41,,
39179.00,113.00,1000.00,30.00,7.79,7.08,206.50,29.80,18.39,0.50,,
40140.00,113.00,500.00,30.00,7.82,7.06,207.25,29.86,18.82,0.49,,
40402.00,110.00,1000.00,30.00,7.98,7.13,200.33,34.41,16.94,0.53,,
40004.00,111.00,500.00,30.00,7.92,7.14,186.73,40.86,15.29,0.40,,
39900.00,108.00,1000.00,30.00,7.88,7.12,199.00,38.89,16.68,0.35,,
40242.00,111.00,500.00,30.00,7.78,7.05,168.75,25.54,14.78,0.35,,
40893.13,111.00,1000.00,30.00,7.86,7.11,178.75,26.49,15.43,0.42,,
40099.00,113.00,500.00,30.00,7.86,7.13,180.75,24.87,16.28,0.40,,
40231.00,113.00,1000.00,40.00,7.88,7.26,186.25,31.82,15.78,0.41,,
40278.00,111.00,500.00,40.00,7.65,7.20,172.50,19.47,15.48,0.40,,
40188.00,112.00,1000.00,40.00,7.81,7.09,171.58,23.83,15.55,0.36,,
40541.00,113.00,500.00,40.00,7.80,7.09,166.92,26.45,14.20,0.35,,
40913.00,111.00,1000.00,30.00,7.76,7.08,172.45,30.15,13.93,0.32,,
40746.00,112.00,500.00,40.00,7.82,7.12,215.42,31.55,17.33,0.43,,
40183.00,107.00,1000.00,30.00,7.77,7.10,174.13,3.85,18.79,0.34,,
40692.00,108.00,525.00,40.00,7.89,7.13,140.25,4.31,18.05,0.44,,
41074.00,97.00,1000.00,40.00,7.84,7.12,174.13,9.63,17.94,0.35,,
40017.00,109.00,500.00,30.00,7.79,7.09,187.50,18.05,18.43,0.30,,
40380.00,109.00,1000.00,40.00,7.85,7.05,200.42,13.36,19.05,0.36,,
40169.00,100.00,500.00,30.00,7.88,7.14,217.67,12.26,19.62,0.34,,
40336.00,113.00,1000.00,30.00,7.80,7.08,222.46,15.11,23.08,0.37,,
40472.00,103.00,500.00,30.00,7.83,7.27,271.00,11.61,25.13,0.29,,
40170.00,114.00,1000.00,30.00,7.76,7.21,263.33,11.42,26.77,0.30,,
40022.00,108.00,1000.00,30.00,7.89,7.14,300.25,28.20,28.18,0.48,,
40745.00,105.00,500.00,40.00,7.76,7.05,315.00,28.83,29.93,0.37,,
40479.00,102.00,1000.00,30.00,8.00,7.09,244.13,20.65,22.95,0.23,,
40801.00,102.00,500.00,30.00,8.02,7.11,233.86,11.93,24.04,0.44,,
40294.00,106.00,1000.00,40.00,7.93,7.09,220.63,20.08,20.50,0.43,,
40972.00,105.00,500.00,30.00,7.91,7.21,235.80,17.98,24.46,0.46,,
40754.00,103.00,1000.00,30.00,7.77,7.06,206.80,18.22,19.60,0.38,,
40663.00,101.00,1000.00,30.00,7.81,7.10,213.25,21.13,20.90,0.40,,
40936.00,103.00,500.00,40.00,7.81,7.07,202.38,14.51,19.99,0.39,,
42086.00,97.00,1025.00,30.00,7.89,7.10,226.75,14.88,21.93,0.30,,
43444.00,98.00,1000.00,40.00,7.90,7.09,202.33,21.33,19.03,0.35,,
45374.00,104.00,500.00,30.00,7.82,7.04,197.67,20.96,18.51,0.35,,
42187.00,102.00,1000.00,40.00,7.73,7.04,217.50,13.17,19.86,0.34,,
43386.00,103.00,1000.00,17.00,7.64,7.04,331.75,16.74,31.88,0.31,,
42082.00,99.00,500.00,0.00,7.74,7.03,523.64,29.26,50.62,0.37,,
41604.00,100.00,1000.00,0.00,7.68,6.99,533.33,41.41,49.71,0.32,,
41231.00,102.00,1000.00,0.00,7.76,7.00,538.25,38.13,51.05,0.33,,
42108.00,96.00,1000.00,0.00,7.67,7.06,420.75,25.51,41.68,0.28,,
41472.00,99.00,1000.00,20.00,7.73,7.05,321.91,26.64,36.54,0.33,,
41604.00,102.00,1000.00,30.00,7.68,6.97,255.38,18.27,31.53,0.38,,
41414.00,109.00,1000.00,30.00,7.77,6.97,279.67,22.97,30.38,0.41,,
41095.00,98.00,1000.00,30.00,7.72,6.94,274.91,13.70,27.96,0.31,,
41207.00,100.00,500.00,40.00,7.78,6.91,297.44,20.04,29.20,0.36,,
41463.00,97.00,1000.00,30.00,7.68,7.04,283.92,17.95,29.36,0.30,,
41527.00,98.00,1000.00,40.00,7.73,7.01,252.50,16.89,25.09,0.38,,
42102.00,105.00,1000.00,30.00,7.72,7.04,253.27,27.72,23.84,0.37,,
41004.00,102.00,500.00,30.00,7.71,7.06,223.89,19.16,21.93,0.35,,
40770.00,106.00,1000.00,30.00,7.56,6.96,240.50,16.29,22.00,0.29,,
41715.00,104.00,1000.00,40.00,7.73,6.99,191.00,16.00,18.75,0.29,,
42456.00,109.00,500.00,30.00,7.74,6.98,336.00,23.00,54.17,0.33,,
41208.00,115.00,1500.00,20.00,7.58,6.95,1179.46,24.14,225.42,0.33,,
40509.00,112.00,1500.00,20.00,7.71,6.93,1285.00,28.00,183.59,0.32,,
39748.00,109.00,1000.00,20.00,7.63,6.96,795.00,19.00,92.83,0.36,,
42250.00,116.00,1000.00,20.00,7.68,7.04,829.75,18.67,78.79,0.38,,
40590.00,113.00,1000.00,10.00,7.74,7.10,712.17,37.69,87.09,0.34,,
40023.00,105.00,1000.00,20.00,7.64,6.92,571.66,21.75,76.13,0.30,,
39364.00,102.00,1000.00,20.00,7.72,6.96,521.86,22.10,66.38,0.39,,
38922.00,105.00,1000.00,20.00,7.63,6.99,501.68,21.64,60.03,0.42,,
39574.00,109.00,1000.00,20.00,7.64,6.95,491.58,32.10,60.51,0.42,,
40544.00,116.00,1000.00,20.00,7.67,7.08,428.03,26.68,56.55,0.35,,
40197.00,117.00,2350.00,20.00,7.65,7.13,960.71,23.43,150.92,0.37,,
40048.00,119.00,875.00,20.00,7.69,7.08,1048.00,32.00,154.54,0.31,,
40318.00,116.00,1750.00,20.00,7.73,7.12,930.58,31.56,120.42,0.27,,
40115.00,117.00,1750.00,20.00,7.73,7.10,644.50,19.57,83.21,0.35,,
40996.00,119.00,875.00,20.00,7.60,7.06,552.25,29.52,61.85,0.33,,
40157.00,130.00,875.00,30.00,7.64,7.05,475.00,48.73,50.08,0.29,,
40183.99,118.00,875.00,30.00,7.65,7.01,388.00,33.00,48.25,0.34,,
40288.00,118.00,875.00,30.00,7.66,7.02,344.63,39.43,40.10,0.37,,
40195.82,120.00,875.00,30.00,7.69,7.01,325.44,32.13,34.58,0.40,,
40456.00,120.00,875.00,30.00,7.62,7.00,343.05,26.72,36.13,0.36,,
40009.00,118.00,850.00,30.00,7.52,6.97,300.18,28.50,31.38,0.35,,
40645.00,120.00,850.00,30.00,7.55,6.94,279.75,15.19,30.28,0.39,,
40737.00,113.00,850.00,30.00,7.58,6.98,315.42,44.88,30.36,0.35,,
38761.00,113.00,1700.00,30.00,7.64,7.08,733.78,41.25,79.41,0.32,,
38905.00,110.00,850.00,20.00,7.63,7.03,1021.88,33.84,119.73,0.32,,
40196.00,113.00,1700.00,20.00,7.61,6.94,1559.58,18.29,293.09,0.37,,
39405.00,112.00,1700.00,0.00,7.59,6.82,3112.58,15.15,624.08,0.51,,
40394.00,113.00,1700.00,0.00,7.50,6.76,2218.78,36.30,431.08,0.37,,
40154.00,116.00,1700.00,0.00,7.70,6.88,2398.00,33.00,325.00,0.36,,
39911.00,113.00,1700.00,12.00,7.62,6.90,2294.42,35.24,483.17,0.36,,
39337.00,101.00,1700.00,16.00,7.63,7.07,2040.83,58.20,251.83,0.32,,
39078.00,106.00,850.00,15.00,7.66,6.90,1789.33,26.86,241.08,0.31,,
38939.00,101.00,1700.00,25.00,7.73,6.94,2295.25,49.73,357.17,0.37,,
32426.00,86.00,3000.00,0.00,7.89,6.85,4262.73,29.98,837.27,0.36,,
40299.00,104.00,2475.00,0.00,7.74,6.77,4548.08,51.32,914.67,0.65,,
39217.00,112.00,2350.00,0.00,7.70,6.91,6252.75,95.49,1095.08,1.29,,
39556.00,104.00,3650.00,20.00,7.84,6.80,7236.25,71.22,1279.08,0.75,,
39168.00,102.00,2350.00,20.00,7.99,7.05,6066.67,43.90,1082.75,0.37,,
40450.00,105.00,3525.00,20.00,7.75,6.93,5454.75,58.00,1198.17,0.72,,
40119.00,102.00,2350.00,20.00,7.81,7.14,3349.17,36.29,837.83,0.51,,
40189.00,100.00,1175.00,20.00,7.66,7.05,2199.33,40.29,380.58,0.38,,
40178.00,110.00,2100.00,20.00,7.78,7.21,1524.42,45.44,230.25,0.30,,
40748.00,110.00,925.00,30.00,7.82,7.13,2402.92,21.70,410.83,0.29,,
40115.00,101.00,2550.00,30.00,7.79,7.13,2690.08,19.00,375.75,0.31,,
40410.00,104.00,1700.00,30.00,7.82,7.18,1478.75,27.57,233.83,0.30,,
40126.00,102.00,850.00,30.00,7.85,7.17,1036.38,25.01,149.42,0.28,,
40316.00,102.00,1700.00,20.00,7.88,7.26,932.38,30.83,126.75,0.29,,
40565.00,97.00,850.00,20.00,7.84,7.11,705.67,24.71,101.89,0.27,,
29598.00,64.00,850.00,20.00,7.81,7.13,589.17,13.08,91.43,0.35,,
40525.00,105.00,1700.00,30.00,7.86,7.09,580.93,28.86,77.78,0.30,,
40379.00,105.00,550.00,30.00,7.81,7.24,645.00,16.00,103.00,0.20,,
40345.00,107.00,550.00,30.00,7.70,7.08,567.86,46.65,67.89,0.30,,
40026.00,101.00,1000.00,30.00,7.89,7.27,523.72,29.88,54.73,0.32,,
40060.00,111.00,1000.00,30.00,7.85,7.31,476.71,18.72,52.51,0.29,,
40184.00,106.00,1000.00,32.00,7.79,7.03,404.75,21.26,41.38,0.27,,
39190.00,108.00,1000.00,30.00,7.77,7.09,366.25,22.09,38.18,0.24,,
40398.00,105.00,1000.00,30.00,7.85,7.20,288.08,23.11,30.72,0.31,,
40204.00,102.00,1000.00,30.00,7.86,7.33,272.08,20.75,27.84,0.28,,
40660.00,104.00,500.00,30.00,7.90,7.32,203.33,15.53,22.17,0.36,,
40549.00,106.00,1000.00,30.00,8.02,7.38,166.42,22.61,17.09,0.32,,
39751.00,104.00,500.00,30.00,8.04,7.20,135.42,11.74,15.26,0.37,,
40714.00,104.00,500.00,40.00,8.14,7.23,125.92,16.59,13.44,0.40,,
40929.00,101.00,1000.00,40.00,7.91,7.10,305.42,11.63,60.30,0.32,,
40486.00,94.00,1500.00,40.00,7.77,7.13,1325.08,19.20,255.75,0.32,,
40394.00,93.00,1500.00,30.00,7.79,7.10,1603.58,25.28,197.50,0.29,,
40553.00,99.00,1000.00,30.00,7.77,7.11,965.75,28.31,138.23,0.28,,
40670.00,101.00,500.00,30.00,7.85,7.18,951.17,19.51,115.75,0.27,,
40460.00,100.00,1000.00,30.00,7.91,7.28,774.26,30.59,96.13,0.29,,
40106.00,95.00,1000.00,40.00,7.83,7.14,707.33,21.13,76.34,0.28,,
40448.00,95.00,1000.00,40.00,7.81,7.14,767.88,19.77,90.26,0.34,,
40220.00,99.00,1000.00,40.00,7.84,7.11,574.73,24.77,62.26,0.26,,
40146.00,96.00,1000.00,40.00,7.79,7.17,539.29,25.38,55.83,0.26,,
40388.00,96.00,1000.00,40.00,7.86,7.14,491.33,20.83,56.16,0.28,,
40350.00,100.00,1000.00,30.00,7.75,7.08,589.17,23.72,60.11,0.36,,
40215.00,98.00,1000.00,40.00,7.85,7.18,539.33,24.81,56.43,0.35,,
40029.00,99.00,1000.00,40.00,7.85,7.17,490.75,13.89,53.13,0.33,,
40191.77,98.00,1000.00,40.00,7.81,7.11,414.83,17.51,43.24,0.29,,
40434.00,96.00,1000.00,30.00,7.80,7.12,339.10,21.12,34.26,0.36,,
40170.00,102.00,500.00,40.00,7.72,7.13,386.40,38.83,30.48,0.43,,
40603.00,100.00,1000.00,30.00,7.78,7.09,289.42,23.55,29.01,0.51,,
41371.00,105.00,1000.00,40.00,7.78,7.20,284.92,24.11,31.02,0.47,,
38089.00,95.00,500.00,40.00,7.71,7.09,265.09,21.24,30.83,0.37,,
40154.00,96.00,1000.00,30.00,7.83,7.21,230.08,25.63,29.62,0.37,,
40189.00,101.00,1000.00,40.00,7.67,7.16,221.42,28.09,24.59,0.40,,
40237.00,102.00,1000.00,30.00,7.87,7.13,175.82,27.64,19.84,0.46,,
40444.00,103.00,500.00,40.00,7.82,7.12,190.08,24.40,19.65,0.42,,
40960.00,99.00,1000.00,40.00,7.90,7.12,165.83,26.44,18.35,0.38,,
40315.00,105.00,1000.00,30.00,7.78,7.05,159.73,28.10,18.35,0.46,,
40291.00,105.00,500.00,30.00,7.78,7.08,154.22,21.67,16.77,0.46,,
40448.00,104.00,1000.00,40.00,7.79,7.07,170.67,25.36,17.33,0.48,,
38707.00,107.00,1000.00,40.00,7.73,6.97,169.67,21.89,17.78,0.46,,
40431.00,104.00,500.00,40.00,7.86,7.01,181.33,24.44,17.63,0.54,,
40187.00,106.00,1000.00,50.00,7.74,6.98,160.67,23.50,16.06,0.47,,
40327.00,106.00,1000.00,52.00,7.77,7.02,154.50,24.92,17.63,0.37,,
40480.00,118.00,1000.00,50.00,7.80,7.10,155.25,23.98,16.58,0.56,,
40240.00,104.00,500.00,40.00,7.69,6.99,154.80,18.97,16.84,0.39,,
40114.00,101.00,1000.00,40.00,7.83,7.02,144.08,17.88,14.65,0.39,,
39904.00,107.00,500.00,40.00,7.84,7.04,150.34,21.46,13.99,0.40,,
40481.00,106.00,500.00,40.00,7.85,7.07,156.60,25.05,13.32,0.40,,
40538.00,109.00,1000.00,50.00,7.72,7.13,116.38,28.88,12.79,0.47,,
40458.00,109.00,500.00,50.00,7.79,7.19,152.50,25.73,13.20,0.42,,
40468.00,101.00,1000.00,40.00,7.84,7.17,107.83,30.97,11.34,0.50,,
40220.00,93.00,500.00,50.00,7.88,7.19,104.92,28.69,11.60,0.59,,
40326.00,96.00,500.00,40.00,7.82,7.12,106.33,28.12,11.43,0.66,,
40155.00,92.00,1000.00,50.00,7.74,7.05,126.33,25.19,13.39,0.49,,
40001.00,108.00,500.00,40.00,7.89,7.07,112.50,19.23,12.07,0.51,,
40542.00,0.00,500.00,50.00,7.82,7.17,135.30,29.15,13.16,0.51,,
40443.00,0.00,1000.00,40.00,7.85,7.08,112.17,30.12,12.73,0.59,,
40349.00,0.00,500.00,50.00,7.87,7.18,119.83,23.83,12.86,0.57,,
40699.00,0.00,1000.00,40.00,7.95,7.20,134.17,20.64,15.22,0.45,,
40294.00,36.00,500.00,50.00,7.82,7.09,150.92,23.72,16.23,0.51,,
40413.00,95.00,500.00,40.00,7.67,7.03,139.42,48.17,13.19,0.52,,
40694.00,96.00,1000.00,40.00,7.70,7.05,128.55,25.48,12.03,0.81,,
40497.00,96.00,500.00,50.00,7.75,7.08,114.50,22.27,12.41,0.54,,
40833.00,96.00,500.00,50.00,7.76,7.08,110.55,29.37,11.34,0.80,,
40459.00,100.00,1000.00,40.00,7.82,7.13,104.78,29.46,11.53,0.63,,
40500.00,100.00,500.00,50.00,7.71,7.08,116.75,28.56,11.48,0.58,,
40472.00,90.00,500.00,40.00,7.79,7.10,117.25,28.02,11.54,0.56,,
40920.00,93.00,500.00,50.00,7.76,6.45,106.09,21.44,10.13,0.50,,
40740.00,94.00,500.00,40.00,7.77,7.07,113.89,27.80,11.18,0.58,,
40609.00,92.00,500.00,40.00,7.80,7.16,127.00,33.87,12.53,0.50,,
40409.00,99.25,1050.00,31.00,7.89,7.09,104.67,30.97,10.12,0.56,,
39090.00,100.25,500.00,29.00,7.68,7.04,104.00,39.91,10.42,0.70,,
40281.00,100.28,500.00,28.00,7.87,7.08,77.20,17.94,8.86,0.57,,
40772.00,92.00,500.00,29.00,7.78,7.17,80.86,12.32,9.10,0.50,,
40599.00,93.00,1000.00,28.00,7.81,7.11,74.25,6.93,8.51,0.47,,
40705.70,92.00,525.00,29.00,7.85,7.24,88.71,15.24,8.81,0.63,,
40547.30,103.00,500.00,28.00,7.84,7.16,87.25,13.83,8.75,0.55,,
40030.00,103.00,500.00,29.00,7.79,7.03,91.18,15.17,9.35,0.46,,
39076.00,100.00,1000.00,28.00,7.87,7.15,95.75,19.38,9.24,0.61,,
39285.00,100.00,500.00,29.00,7.89,7.11,93.18,12.05,10.21,0.50,,
39219.00,99.00,500.00,28.00,7.89,7.15,112.38,22.47,11.44,0.57,,
39893.00,102.00,500.00,29.00,7.76,7.07,102.33,32.81,10.02,0.52,,
39630.00,99.00,1000.00,28.00,7.81,7.09,94.92,19.32,10.21,0.43,,
39722.00,96.00,500.00,29.00,7.70,7.06,114.13,29.13,11.44,0.41,,
39524.00,97.25,500.00,28.00,7.88,7.56,98.17,25.37,10.62,0.56,,
39039.00,91.50,1000.00,29.00,7.67,7.46,93.25,15.05,9.37,0.42,,
39701.00,105.00,500.00,28.00,7.91,7.42,106.17,28.93,9.55,0.47,,
40321.00,0.00,500.00,29.00,7.82,7.09,94.00,26.28,9.40,0.45,,
40340.00,0.00,1000.00,28.00,7.83,7.11,98.75,31.78,10.70,0.39,,
39569.00,0.00,500.00,29.00,7.96,7.28,179.57,31.31,24.29,0.45,,
39259.00,0.00,500.00,28.00,7.98,7.15,102.71,31.20,11.60,0.48,,
40689.00,0.00,500.00,29.00,7.75,7.14,108.50,35.54,11.03,0.39,,
40132.00,92.00,1000.00,28.00,7.93,7.15,123.13,40.92,12.93,0.41,,
39069.00,91.00,500.00,29.00,7.98,7.21,116.56,31.61,11.58,0.48,,
39197.00,90.00,500.00,28.00,7.74,7.12,135.00,16.33,13.98,0.35,,
39400.00,88.00,1000.00,29.00,7.47,7.16,121.92,26.77,12.14,0.38,,
39428.00,85.00,500.00,28.00,7.89,7.25,107.33,20.16,11.52,0.39,,
39606.00,90.00,500.00,29.00,7.85,7.26,101.71,20.41,11.07,0.37,,
39302.00,88.00,1000.00,28.00,7.92,7.37,106.50,16.86,13.42,0.41,,
39033.00,89.00,500.00,29.00,7.79,7.19,153.33,17.07,11.47,0.42,,
40046.00,86.00,500.00,30.00,7.79,7.28,130.50,22.82,11.56,0.43,,
40605.00,82.00,500.00,50.00,7.86,7.24,85.75,20.35,10.16,0.36,,
40055.00,84.00,1000.00,40.00,7.84,7.21,94.00,23.23,9.77,0.40,,
40369.00,90.00,500.00,50.00,7.83,7.28,95.08,22.80,9.48,0.45,,
40678.00,100.00,500.00,40.00,8.05,7.35,86.50,22.46,8.88,0.46,,
40391.00,96.00,500.00,50.00,7.98,7.55,98.75,31.27,9.97,0.60,,
40785.00,87.00,1000.00,50.00,7.90,7.18,77.17,26.59,9.44,0.49,,
40877.00,88.50,500.00,40.00,7.92,7.49,97.25,26.58,11.02,0.53,,
40584.00,90.00,500.00,60.00,7.78,7.35,94.43,19.10,10.32,0.52,,
40392.00,90.00,1000.00,30.00,7.96,7.39,98.78,18.96,9.87,0.43,,
40693.00,90.00,500.00,40.00,7.94,7.39,111.83,24.49,11.52,0.59,,
40798.00,90.00,500.00,50.00,7.90,7.29,92.36,22.53,11.75,0.58,,
40526.00,92.00,1000.00,40.00,7.69,7.16,105.89,20.03,10.92,0.44,,
40431.00,87.00,500.00,50.00,7.88,7.13,78.33,21.09,10.27,0.45,,
40050.00,90.00,500.00,50.00,8.03,7.42,72.75,25.67,9.64,0.45,,
40875.00,88.00,500.00,50.00,8.03,7.38,73.25,16.59,9.08,0.52,,
40108.00,88.00,1000.00,40.00,7.80,7.14,96.00,11.51,9.31,0.42,,
40533.00,90.00,500.00,40.00,7.87,7.19,95.50,20.78,9.66,0.47,,
40065.00,90.00,500.00,50.00,7.89,7.30,85.08,22.51,10.32,0.32,,
40008.00,91.00,500.00,40.00,7.76,7.18,98.00,19.36,10.28,0.39,,
40007.00,90.00,1000.00,40.00,7.73,7.19,92.25,18.78,10.83,0.41,,
40119.00,89.00,500.00,50.00,7.90,7.29,68.63,14.63,9.89,0.32,,
40210.00,90.00,500.00,50.00,7.88,7.30,73.75,23.67,9.81,0.47,,
40170.00,94.00,500.00,40.00,7.77,7.27,81.13,17.34,9.68,0.50,,
40039.00,94.00,1000.00,40.00,7.81,7.26,65.67,22.22,11.18,0.49,,
40187.00,95.00,500.00,50.00,7.87,7.25,84.75,22.98,10.00,0.42,,
40061.00,90.00,500.00,55.00,7.86,7.23,91.92,21.66,10.69,0.33,,
40064.00,93.00,500.00,50.00,7.72,7.28,55.25,16.28,10.15,0.43,,
40212.00,90.00,500.00,40.00,7.91,7.39,81.38,17.09,11.70,0.36,,
40002.00,93.00,1000.00,40.00,7.85,7.43,90.13,22.26,10.92,0.38,,
40050.00,90.00,500.00,40.00,7.95,7.46,100.25,13.16,10.48,0.35,,
39550.00,89.00,500.00,40.00,7.91,7.25,96.08,21.58,9.37,0.39,,
39904.00,92.00,500.00,40.00,7.74,7.25,87.75,20.57,9.53,0.43,,
39566.00,91.00,1000.00,40.00,7.69,7.14,104.88,20.64,9.94,0.38,,
39724.00,90.00,500.00,40.00,8.03,7.40,90.13,22.97,9.77,0.56,,
39408.00,90.00,500.00,50.00,7.97,7.46,88.88,19.56,9.99,0.45,,
39467.00,90.00,500.00,40.00,7.78,7.25,109.33,18.64,11.50,0.47,,
39758.00,90.00,1000.00,50.00,7.83,7.17,99.17,18.41,10.85,0.54,,
39773.00,90.00,500.00,33.00,7.88,7.32,112.00,13.20,11.81,0.47,,
39124.00,90.00,500.00,40.00,7.85,7.31,131.42,14.24,13.48,0.39,,
39181.00,90.00,500.00,50.00,7.64,7.23,110.88,17.70,12.21,0.42,,
39580.00,92.00,1000.00,40.00,7.70,7.25,125.38,15.05,14.44,0.46,,
39507.00,89.00,500.00,40.00,7.76,7.28,102.13,19.67,12.26,0.41,,
39265.00,90.00,1050.00,40.00,7.88,7.16,116.50,19.63,11.98,0.46,,
39193.00,90.00,1000.00,40.00,7.80,7.23,95.25,12.26,12.27,0.47,,
39237.00,92.00,500.00,40.00,7.82,7.28,96.25,22.20,11.61,0.54,,
39050.00,86.00,500.00,50.00,7.82,7.20,99.25,23.40,12.83,0.45,,
39005.00,88.00,500.00,40.00,7.71,7.13,117.13,15.27,12.71,0.39,,
39041.00,87.00,500.00,50.00,7.79,7.29,122.75,20.96,14.05,0.38,,
38895.00,90.00,500.00,40.00,7.81,7.25,116.75,18.42,14.28,0.36,,
38337.00,83.00,500.00,52.00,7.79,7.27,104.25,17.41,13.11,0.40,,
39870.00,95.00,500.00,40.00,7.76,7.30,105.38,11.23,11.85,0.43,,
38793.00,81.00,1000.00,50.00,7.96,7.38,109.75,24.14,12.20,0.53,,
39211.00,84.00,500.00,40.00,8.02,7.26,104.33,16.57,12.33,0.47,,
39025.00,30.00,1000.00,50.00,7.97,7.27,117.00,17.82,12.78,0.49,,
39168.00,0.00,500.00,50.00,7.83,7.42,128.88,19.79,13.39,0.48,,
39348.00,86.00,500.00,40.00,7.88,7.30,97.38,13.91,11.03,0.50,,
39537.00,88.00,500.00,50.00,7.86,7.34,108.75,18.16,11.90,0.46,,
39083.00,87.00,1000.00,60.00,7.67,7.20,96.13,15.20,11.23,0.47,,
39323.00,89.00,500.00,50.00,7.84,7.27,108.83,14.12,11.88,0.48,,
39661.00,92.00,500.00,60.00,7.74,7.26,120.17,13.22,12.92,0.38,,
39261.00,91.00,1000.00,60.00,7.66,7.18,120.48,9.25,15.10,0.38,,
39009.00,80.00,500.00,0.00,7.75,7.34,125.88,15.81,14.48,0.47,,
38946.00,81.00,500.00,0.00,7.93,7.32,127.88,11.19,13.46,0.44,,
39523.00,83.00,1000.00,0.00,7.90,7.32,130.50,15.59,13.53,0.44,,
39233.00,88.00,500.00,0.00,7.89,7.34,128.63,21.60,13.14,0.49,,
38829.00,88.00,500.00,0.00,7.87,7.29,127.25,15.00,13.86,0.41,,
39309.00,85.00,1000.00,0.00,7.93,7.37,118.42,17.11,13.24,0.42,,
39063.00,80.00,500.00,0.00,7.89,7.24,135.33,17.41,13.25,0.46,,
38706.00,82.00,500.00,0.00,7.81,7.25,131.25,22.50,12.63,0.59,,
39340.00,88.00,1000.00,0.00,7.87,7.33,125.75,17.67,12.78,0.48,,
39316.00,89.00,500.00,0.00,7.72,7.32,127.13,24.16,13.75,0.43,,
39086.00,85.00,500.00,0.00,7.69,7.18,119.75,20.38,12.63,0.41,,
39494.00,91.00,1000.00,0.00,7.78,7.26,124.75,23.52,12.95,0.48,,
39424.00,84.00,500.00,0.00,7.74,7.23,132.67,20.78,13.34,0.45,,
38677.00,84.00,1000.00,0.00,7.82,7.24,142.00,30.41,12.75,0.51,,
39491.00,90.00,500.00,0.00,7.88,7.34,147.38,40.71,14.03,0.64,,
39852.00,89.00,1000.00,0.00,7.86,7.30,139.13,20.38,13.69,0.37,,
38993.00,97.00,500.00,0.00,7.91,7.27,163.00,21.52,12.63,0.40,,
39091.00,99.00,500.00,0.00,7.88,7.31,145.75,18.28,14.71,0.43,,
39499.00,99.00,1000.00,0.00,7.84,7.26,190.38,20.40,15.78,0.36,,
39328.00,98.00,500.00,0.00,7.73,7.27,147.63,15.56,16.99,0.35,,
