,Time,cocecha,mx,mn,hec,pe,et
1,1981-12-31,561.0,18.12828732268493,3.180803459660276,13298.0,3.487027644449318,2.3883283930000005
2,1982-12-31,692.0,18.26535323734247,3.169573813912328,16314.0,3.0500723701794494,2.4051810910547964
3,1983-12-31,372.0,19.386258526027373,3.470689069876711,9491.0,2.3806030711890367,2.3795676824575356
4,1984-12-31,654.0,17.74849820625683,3.5572087446994525,12917.0,3.570685355110385,2.319510920311475
5,1985-12-31,315.0,17.882557909205477,3.306236551819178,8245.0,3.6127657534666375,2.315041910841098
6,1986-12-31,472.0,17.91507586282193,3.051005683257534,9800.0,3.6139791588421915,2.3375888703726053
7,1987-12-31,500.0,19.209983329890413,3.316183634772601,9678.0,2.8683337507156184,2.3454144027534243
8,1988-12-31,740.0,18.875036421475432,3.404310346251362,14539.0,2.726980929638223,2.370679801480874
9,1989-12-31,929.0,18.067744097835632,3.095601010139723,11367.0,2.8002016646410954,2.4390291118164367
10,1990-12-31,313.0,18.412675883041096,3.10924184000822,5033.0,3.105626609410959,2.3180698531260275
11,1991-12-31,684.0,18.646329836082174,2.874271098399997,15620.0,2.7722731910948495,2.1439386164356176
12,1992-12-31,384.0,18.498744774726763,2.7519130210901626,4395.0,2.721636388949454,2.1329849174016395
13,1993-12-31,771.0,18.185694021534236,3.3169291006712345,13771.0,3.342099986203288,2.2694329616931506
14,1994-12-31,763.0,18.525293597972595,3.3484512103863002,15355.0,3.2647227389767672,2.3898343991287665
15,1995-12-31,666.0,19.023921578657518,3.09833395451233,12525.0,2.73811950821167,2.4092175071424675
16,1996-12-31,833.0,18.376536376584685,3.4629441262158487,11695.0,2.894418997872116,2.4014060230491814
17,1997-12-31,824.0,18.457996682246574,3.6930571294602736,17195.0,3.5395761916660233,2.391872694158906
18,1998-12-31,906.0,19.745503888493136,3.8097310404712337,19487.0,2.8692929561889113,2.3075353820410966
19,1999-12-31,929.0,18.26417419671233,3.3446779113835587,17915.0,3.2553387251753416,2.2476793581123298
20,2000-12-31,967.0,18.277552497540988,3.386088364234971,20526.0,3.2765964603633875,2.243380333721312
21,2001-12-31,827.0,18.3203533409315,3.714083630115067,18717.0,3.9257482912978086,2.2129334585342466
22,2002-12-31,1121.0,18.435464217369844,4.228649623452054,22206.0,3.7925222565945216,2.2211593605945237
23,2003-12-31,1086.0,18.933442051671243,3.467890336263013,22602.0,2.960932903696997,2.2316773795890428
24,2004-12-31,983.0,18.82615715038251,3.581919875240438,22485.0,3.038007505081967,2.286285905013662
25,2005-12-31,1187.0,19.23692173167124,3.3140116488,23343.0,2.8378124661117274,2.5232354577863036
26,2006-12-31,1035.0,19.076528143013697,3.5995472882136976,23821.0,3.3046282977616426,2.444913007038357
27,2007-12-31,1071.0,19.05450817947945,3.713577403808219,23966.0,3.1111005819487674,2.3615518543534235
28,2008-12-31,970.0,18.956081072240444,2.8106689321120206,23385.0,3.1245156035278243,2.329162896243167
29,2009-12-31,1194.0,19.2304579681644,3.3870184226575337,26095.0,3.010804028389039,2.353224140460273
30,2010-12-31,1213.0,19.736300431287667,3.5945643190383567,26342.0,2.9294168043951494,2.3574476737397245
31,2011-12-31,1198.0,18.870394482931523,3.553876243805478,27337.0,3.3691854221917814,2.3106905707753427
32,2012-12-31,1100.0,18.887949648442625,3.555584877538252,27445.0,3.661327827436489,2.2856973686174853
33,2013-12-31,981.0,19.04717514641095,3.7614919476410935,29886.0,3.330495332213699,2.3035724022739714
34,2014-12-31,1121.0,19.242803098219184,3.879467011150686,32261.0,2.8369469391780817,2.32529793150685
35,2015-12-31,1119.0,19.323962671123297,3.958067250512328,34167.0,3.3577965854590617,2.423492876789041
36,2016-12-31,985.0,19.899480630519136,3.5058957686967207,35694.0,2.655185296092189,2.3712948109672136
