,V1,V2,V3,V4,V5,V6
1981-01-01,22.6015338897705,22.0553569793701,21.9490718841553,22.0553970336914,21.0708560943604,22.0187721252441
1981-01-02,22.7819995880127,22.355541229248,22.5718612670898,22.3851680755615,21.5189647674561,22.1111621856689
1981-01-03,22.5277538299561,22.128719329834,22.3821411132812,22.5080223083496,21.9053516387939,22.7593364715576
1981-01-04,21.9792957305908,21.595157623291,21.6516971588135,21.6566104888916,21.2908191680908,21.8966274261475
1981-01-05,22.3661918640137,22.0818004608154,22.1212139129639,22.1932487487793,21.7832183837891,22.5004825592041
1981-01-06,22.5616016387939,22.1824359893799,22.5863666534424,22.8022060394287,22.0011196136475,23.0317497253418
1981-01-07,22.5557289123535,22.1984806060791,22.0288715362549,21.9344825744629,21.8742828369141,22.2611885070801
1981-01-08,22.1176261901855,21.7497978210449,21.7574520111084,21.8417949676514,21.5140533447266,22.0614757537842
1981-01-09,21.8942584991455,21.6371421813965,21.8374919891357,21.8837337493896,21.5338764190674,21.9390525817871
1981-01-10,21.8296890258789,21.4608058929443,21.3758277893066,21.22727394104,20.9860363006592,21.214183807373
1981-01-11,22.8899116516113,22.3679752349854,21.4968681335449,21.1784648895264,20.9210453033447,21.4379291534424
1981-01-12,23.2830753326416,22.9086532592773,22.7226676940918,22.7049980163574,22.3718185424805,22.9718284606934
1981-01-13,22.9465618133545,22.6116905212402,22.580493927002,22.384428024292,22.4139404296875,22.7081470489502
1981-01-14,22.343692779541,21.891393661499,21.4355812072754,21.2553386688232,21.0399570465088,21.6097240447998
1981-01-15,22.2827320098877,21.9111728668213,21.7499332427979,21.6780281066895,21.5135345458984,21.8836555480957
1981-01-16,22.5050792694092,22.0601654052734,21.8610305786133,21.8267555236816,21.5649147033691,22.2763061523438
1981-01-17,22.6170310974121,22.3092155456543,22.25390625,22.2626800537109,22.2050628662109,22.6349639892578
1981-01-18,22.9660778045654,22.643009185791,22.3456592559814,22.2742805480957,22.2777633666992,22.761043548584
1981-01-19,22.9666042327881,22.6494235992432,22.3728141784668,22.1678943634033,22.0304832458496,22.7194328308105
1981-01-20,22.4828510284424,21.9944133758545,22.2306861877441,22.0612487792969,20.8692474365234,22.4210376739502
1981-01-21,22.6864471435547,22.3183555603027,22.6378440856934,22.7217216491699,22.2883319854736,22.8746528625488
1981-01-22,22.3566093444824,21.9420986175537,21.9161567687988,22.0134029388428,21.4850101470947,22.431001663208
1981-01-23,22.33327293396,21.8410892486572,21.7731990814209,21.8250713348389,21.1523704528809,21.8755836486816
1981-01-24,22.0534706115723,21.6094017028809,22.0392799377441,21.279504776001,20.8001117706299,21.5213031768799
1981-01-25,21.5691776275635,21.097484588623,21.1421756744385,21.3721199035645,20.4516105651855,21.5499668121338
1981-01-26,21.7831020355225,21.3632888793945,21.1933441162109,21.1911563873291,20.740161895752,21.3523769378662
1981-01-27,22.4344348907471,22.060173034668,21.9269618988037,21.8801670074463,21.6840515136719,22.0887050628662
1981-01-28,22.538875579834,22.208797454834,21.9756526947021,21.8769512176514,21.8308849334717,22.1960372924805
1981-01-29,22.7797203063965,22.5955486297607,22.5945854187012,22.4973239898682,22.5950813293457,22.7892246246338
1981-01-30,21.750280380249,21.574031829834,21.9369792938232,22.1203022003174,21.6267223358154,22.1074752807617
1981-01-31,21.9273147583008,21.7737808227539,21.7127285003662,21.7082099914551,21.83083152771,22.0150547027588
1981-02-01,20.8656234741211,20.3406162261963,20.8983707427979,20.8580875396729,20.9207210540771,21.2808380126953
1981-02-02,21.2892551422119,20.7015647888184,21.4124221801758,21.4567642211914,21.1537551879883,21.7099361419678
1981-02-03,21.3622627258301,20.8425350189209,21.7115592956543,21.8574752807617,21.5351428985596,22.0343551635742
1981-02-04,21.7093410491943,21.1674671173096,21.8622951507568,21.8592929840088,21.5870494842529,22.0733470916748
1981-02-05,21.0539741516113,20.5123519897461,21.2456607818604,21.3860511779785,21.083833694458,21.5987510681152
1981-02-06,21.1085891723633,20.6133899688721,21.3725738525391,21.4401912689209,21.1927814483643,21.5713882446289
1981-02-07,21.103931427002,20.5947933197021,21.2571849822998,21.3626308441162,21.1281089782715,21.6303195953369
1981-02-08,21.3123397827148,20.7934970855713,21.3759155273438,21.4067192077637,21.2642784118652,21.658727645874
1981-02-09,20.8774089813232,20.4034252166748,21.056978225708,21.2137088775635,21.0893478393555,21.5286903381348
1981-02-10,21.6515407562256,21.1337108612061,21.6006813049316,21.4986476898193,21.5466690063477,21.797643661499
1981-02-11,21.8773670196533,21.3018283843994,22.1139297485352,22.0919799804688,21.7088413238525,21.761682510376
1981-02-12,22.1369094848633,21.5249919891357,22.137264251709,21.871374130249,21.3560905456543,21.9382266998291
1981-02-13,22.1497173309326,21.6106147766113,22.4708290100098,22.316427230835,22.0413303375244,22.4018669128418
1981-02-14,21.2639961242676,20.7739372253418,21.4886722564697,21.6012706756592,21.4559669494629,21.9760112762451
1981-02-15,21.3367691040039,20.7571811676025,21.3945713043213,21.3791446685791,21.0752868652344,21.5692329406738
1981-02-16,21.3139019012451,20.8086910247803,21.7132968902588,21.7409076690674,21.5865898132324,21.9532432556152
1981-02-17,21.1031551361084,20.6048030853271,21.0868015289307,21.0473365783691,21.0241870880127,21.2898292541504
1981-02-18,21.0050373077393,20.4431552886963,21.0069198608398,21.0506477355957,20.7298736572266,21.1832637786865
1981-02-19,20.7436714172363,20.2428703308105,20.9157238006592,21.1052799224854,20.841028213501,21.3886222839355
1981-02-20,21.2077312469482,20.709831237793,21.6145172119141,21.6084632873535,21.4043254852295,21.7948417663574
1981-02-21,21.006814956665,20.520938873291,21.0205249786377,21.1180362701416,20.9357566833496,21.4748344421387
1981-02-22,21.4568748474121,20.8696403503418,21.141056060791,21.1649074554443,21.0565872192383,21.5601348876953
1981-02-23,21.6197891235352,20.9967212677002,21.521842956543,21.5172710418701,21.3016262054443,21.7729625701904
1981-02-24,20.5632762908936,20.2349376678467,21.1879768371582,21.660192489624,21.5174884796143,22.1429347991943
1981-02-25,20.6045551300049,20.2515983581543,21.0026359558105,21.4026508331299,21.2996425628662,21.9359569549561
1981-02-26,21.7350807189941,21.1249923706055,21.3417739868164,21.4262523651123,21.3902130126953,21.9529228210449
1981-02-27,21.2895545959473,20.7702865600586,21.0170249938965,21.1034374237061,21.0677852630615,21.4197196960449
1981-02-28,21.7708301544189,21.105281829834,21.2702236175537,21.0479125976562,21.2678985595703,21.6100692749023
1981-03-01,23.1596202850342,22.6925201416016,22.4839248657227,21.826639175415,21.5440578460693,21.8752994537354
1981-03-02,22.2816581726074,22.0678653717041,22.0437259674072,21.9972877502441,21.9463443756104,22.0444679260254
1981-03-03,21.7682018280029,21.6509742736816,21.5860042572021,21.5949993133545,21.7603244781494,21.8697109222412
1981-03-04,23.0395107269287,22.7244052886963,22.8250846862793,22.7883453369141,22.4523277282715,22.7406158447266
1981-03-05,22.6753387451172,22.4031352996826,22.4426116943359,22.477294921875,22.508638381958,22.6280879974365
1981-03-06,22.5691814422607,22.3478450775146,22.3990364074707,22.5668640136719,22.2191429138184,22.6095180511475
1981-03-07,23.0827121734619,22.8284721374512,22.843900680542,22.7644805908203,22.611291885376,22.7585620880127
