V_COD_ESTA,V_ANO,V_MES,V_DIA,N_VI101,N_VI102,N_VI103,V_VT101,N_VT102,V_VT103,N_VT104,V_VT105,N_VT106,V_NB104,N_NB105,N_NB106,V_NB107,N_NB108,V_NB109,N_NB110,V_NB111,N_NB112,N_NB113,V_NB114,N_NB115,V_NB116,N_NB117,V_NB118,N_NB119,N_NB120,V_NB121,N_NB122,V_NB123,N_NB124,N_TM102,N_TM103,N_TM104,N_TM105,N_TM106,N_TM107,N_TM108,N_TM109,N_PT101,N_PT102,N_PT103,N_EV103,N_EV104,N_EV109
374,2012,12,25,10,37,4,E,2,W,4,W,4,ST,8,300,,,,,CU,4,1400,AC,1,,,SC,7,700,AC,1,,,18.9,9.6,9.8,17.6,12.6,8.8,12.6,10.4,7,3.9,0.1,0.3,1.4,1.6
374,2012,12,26,10,28,1,E,2,E,4,W,4,ST,8,500,,,,,SC,8,1000,,,,,ST,8,200,,,,,16.8,8.5,10.7,16,11.6,9,11.9,10.5,11,6.9,4.5,0.2,0.9,1.1
374,2012,12,27,12,35,2,W,2,W,4,W,4,SC,8,900,,,,,CU,5,1300,AC,1,,,ST,8,300,,,,,17.5,9.4,10,17.4,13.3,9.5,12.5,10.5,12.8,6.5,2.6,0.2,1,1.2
374,2012,12,28,38,8,2,W,4,W,2,W,2,CU,8,1200,,,,,ST,8,400,,,,,ST,6,300,AC,2,,,18.1,9.1,9.6,11.7,12.8,8.8,10.8,11,5.3,10.2,4.2,0.2,0.8,1.1
374,2012,12,29,30,35,2,E,2,W,4,W,2,CU,3,1400,AC,2,,,SC,8,900,,,,,ST,8,300,,,,,19.1,10,10.3,14.2,12.5,9.4,11.9,10.4,27.3,1.1,3.8,0.3,1.2,1.5
374,2012,12,30,25,30,2,E,1,W,4,W,7,ST,8,500,,,,,ST,7,600,AC,1,,,ST,8,400,,,,,16,9.2,9.8,13.5,11.1,9.3,11.1,10.2,27.3,23.5,21.6,0.3,0.6,0.8
374,2012,12,31,10,12,6,E,4,W,4,W,4,SC,8,900,,,,,ST,8,500,,,,,SC,8,800,,,,,16.3,8.8,9.2,14.4,11.1,8.7,11.8,10,3.8,5.7,3.5,0.2,0.6,0.8
374,2013,1,1,20,36,4,E,2,W,2,E,4,CU,6,1300,AC,2,,,CU,5,1400,AC,2,,,SC,6,700,AS,2,,,18.6,9.4,10.4,17.2,12.5,9.5,12.2,10.6,2.1,0.3,1.8,0.2,1.2,1.4
374,2013,1,2,35,38,10,E,4,W,4,E,4,CU,4,1300,AC,2,,,CU,6,1300,AC,2,,,CU,6,1200,AC,1,,,18.5,7.4,9,17.4,12.7,8.6,13.2,10.8,4.5,0.3,0.8,0.2,1.3,1.6
374,2013,1,3,30,32,12,E,1,E,4,E,4,CU,5,1400,AC,2,CI,1,CU,8,1200,,,,,CU,5,1300,AC,2,,,17.8,8.5,9.8,16.4,12.8,9,12.3,10.6,1.3,3.7,1.2,0.3,1.2,1.6
