;Mes;tx;tm;pp;etp
2825;9;18.79854944;4.155478945;0.561409404;1.596848038
2826;9;20.42017525;4.419769966;0.411658403;2.015146564
2827;9;19.49875077;4.657140388;3.390795244;1.970331298
2828;9;19.25691026;4.409776026;0.513355394;1.950972964
2829;9;21.21271783;0.910681392;0.144253302;1.937558256
2830;9;20.47750876;-0.94285096;0.001727415;1.982680093
2831;10;20.83669266;1.063095611;0.006873832;1.941926342
2832;10;20.86028224;2.972388319;0.652404867;2.028237784
2833;10;19.61346539;3.596780927;0.763246097;2.051000029
2834;10;19.58683707;3.59118567;1.074577173;1.942310494
2835;10;18.73950486;3.240196807;1.820686753;1.934934769
2836;10;18.8669843;4.065095633;2.812895136;1.617305349
2837;10;17.89367236;4.613103569;2.901982982;1.898293057
2838;10;18.0240325;5.316553321;2.891185443;1.86014352
2839;10;16.67773495;3.149005618;3.235798584;1.848617497
2840;10;16.27673767;4.420805249;3.294174676;1.630972511
2841;10;19.36163041;2.878776862;2.97480159;1.64239675
2842;10;20.66084512;2.441203736;0.972449978;1.832365531
2843;10;19.71722913;4.06373575;1.89306352;1.819398212
2844;10;20.72544575;2.528988219;1.336103991;1.797711569
2845;10;21.29448399;2.139175329;0.159177475;1.824543248
2846;10;20.31481114;2.768487279;0.552196323;1.757672016
2847;10;20.06617791;1.878130674;0.008087264;1.38694346
2848;10;21.65458494;1.757524667;0.400609422;1.718864895
2849;10;22.11800561;2.64266856;0.199208993;1.722373667
2850;10;21.38413431;2.729357364;2.251385031;1.742303105
2851;10;20.95859918;4.573454569;3.692324653;1.748140434
2852;10;20.8936929;5.322633218;2.976386596;1.776636154
2853;10;22.24005594;3.542013926;0.548337236;1.776471005
2854;10;21.28648615;4.034723029;1.416435055;1.625773449
2855;10;21.14969161;2.593483777;3.561478393;1.603263922
2856;10;20.85804767;3.489151126;10.0158615;1.623809854
2857;10;17.88552237;4.85942714;7.489075878;1.717788438
2858;10;20.54658381;3.370798749;0.223378289;1.543817548
2859;10;21.35032235;1.449909674;0.559172348;1.797308224
2860;10;21.06053357;4.044459848;0.907595364;1.868773566
2861;10;21.1306196;4.170950305;0.727690415;1.802171626
2862;11;19.51420216;5.950651411;6.37611702;1.778349734
2863;11;20.71216663;3.79421915;1.541031764;1.747898677
2864;11;20.66004527;4.316278997;0.2809638;1.66346321
2865;11;20.21360103;4.201698372;0.062410927;1.624234887
2866;11;20.75822269;3.016361847;0.027947261;1.575271617
2867;11;19.43073844;2.115973711;0.061115867;1.603212775
2868;11;19.61535618;2.872792098;0.612756405;1.714276211
2869;11;20.37510467;4.298789166;0.1946495;1.681574114
2870;11;19.69785378;4.460564709;0.229648897;1.678077636
2871;11;20.1684523;3.36870584;0.126179752;1.669001975
2872;11;20.08394604;4.042813942;0.014299376;1.621913357
2873;11;20.16236762;3.926256909;0.179143397;1.618518698
2874;11;20.03994709;4.590039703;2.430830696;1.680539274
2875;11;18.9055831;4.663945102;4.364863773;1.706795182
2876;11;18.73196763;4.244925903;0.402805128;1.67403969
2877;11;19.53234838;3.252427368;1.473567426;1.681623711
2878;11;19.36977392;3.266583474;0.589385956;1.644757849
2879;11;19.63484209;3.508966063;1.362159224;1.618329694
2880;11;20.80099684;2.535621055;0.051966995;1.599356174
