Código	Mes	CWD	Estación	Departamento	Provincia	Distrito	Longitud	Latitud	Altitud (msnm)	Sector
100020	3	4	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	4	2	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	5	1	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	6	1	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	7	1	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	8	1	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	9	1	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	10	3	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	11	3	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	12	4	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100021	1	7	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	2	9	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	3	7	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	4	3	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	5	1	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	6	1	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	7	1	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	8	2	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	9	2	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	10	3	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	11	3	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	12	5	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100024	1	9	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	2	10	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	3	7	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	4	3	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	5	1	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	6	1	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	7	1	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	8	2	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	9	2	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	10	4	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	11	4	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	12	8	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100025	1	3	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	2	3	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	3	3	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	4	0	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	5	0	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	6	0	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	7	0	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	8	0	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	9	0	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	10	0	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	11	0	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100025	12	0	CHALLACA-PLU	HUANCAVELICA	HUAYTARA	SANTIAGO DE CHOCORVOS	-75.39055556	-13.79194444	1880	SIERRA CENTRAL OCCIDENTAL
100026	1	2	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	2	1	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	3	0	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	4	0	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	5	0	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	6	2	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	7	1	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	8	0	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	9	0	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	10	0	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	11	0	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100026	12	0	CHAPARRA	AREQUIPA	CARAVELI	CHAPARRA	-73.87089444	-15.74765278	1033	SIERRA SUR OCCIDENTAL
100028	1	1	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	2	2	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	3	2	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	4	1	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	5	0	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	6	0	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	7	0	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	8	0	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	9	0	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	10	1	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	11	0	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100028	12	0	CHERREPE	LA LIBERTAD	CHEPEN	PACANGA	-79.561175	-7.118872222	51	COSTA NORTE
100030	1	13	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	2	13	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	3	10	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	4	8	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	5	7	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	6	6	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	7	5	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	8	5	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	9	5	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	10	8	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	11	7	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100030	12	11	CHONTACHACA	CUSCO	PAUCARTAMBO	KOSÑIPATA	-71.46777778	-13.02388889	872	SELVA SUR ALTA
100034	1	4	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	2	4	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	3	4	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	4	4	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	5	3	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	6	2	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	7	2	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	8	2	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	9	2	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	10	3	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	11	3	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100034	12	3	CONTAMANA	LORETO	UCAYALI	CONTAMANA	-75.006381	-7.352558	157	SELVA NORTE BAJA
100037	1	10	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100037	2	10	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100037	3	15	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100037	4	6	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100037	5	3	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100037	6	1	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100037	7	1	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100037	8	0	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
